source_id,parallax,parallax_error,phot_g_mean_mag
137339585109844864,0.5906,0.0589,16.445
138850696338879360,0.3414,0.4025,19.575
138861760174700800,0.397,0.0876,17.125
138877256416618112,0.5874,0.1081,17.303
138915391431091584,0.3119,0.277,18.784
138921610543792512,0.6256,0.2654,18.751
138944150531772928,1.1808,0.0942,17.36
138958547262243584,0.3003,0.2036,18.446
138960063386131968,1.6386,0.699,20.02
138984252642165376,0.4658,0.0998,17.204
139004589310546560,0.1616,1.0924,20.587
139038128711682176,-0.9838,0.6557,20.162
139147216585453696,1.34,0.4119,19.538
139223632643494784,0.9907,0.3174,19.127
139236208307803904,0.4655,0.2806,19.124
139287786571348992,0.0135,0.1206,17.767
139290531053298432,0.8101,0.0608,16.299
139373097504926592,0.1811,0.6465,20.186
139431268542334464,0.0614,0.5343,19.964
139490337229153280,0.6934,0.0566,16.344
139494013719549696,0.0992,0.1723,18.099
139507723255553536,-0.7494,1.2036,20.693
139530606842312832,0.1139,0.0341,14.916
139532114374443008,2.3663,0.4788,19.302
139549848295653504,0.6024,0.0385,15.525
139604201106503168,0.0552,0.1194,17.476
139605511071837824,0.935,0.0292,14.586
140356786749939200,2.5597,1.0638,20.334
140365097512256128,0.9051,0.183,18.247
140455841580776832,-0.0402,0.2011,18.268
140651009190535808,0.5486,0.0321,14.49
140657571900540288,0.9765,0.3566,14.054
140680829148099584,0.7176,0.0608,16.458
141506081344228480,0.2403,0.3352,19.352
141555078330172800,1.0162,0.1203,17.689
141560232292020224,-0.0277,0.1006,17.464
141575251792700672,-0.5329,1.2716,20.511
141638508070548608,-0.2966,1.0033,20.553
141645757976288640,0.797,0.2921,19.038
141751478594721664,0.5328,0.2417,18.557
141793779729312256,0.4818,0.0869,17.202
141903795316372608,1.9541,0.7906,20.378
141927297375721472,-0.6224,1.3879,20.444
141954785166985472,0.2647,0.1898,18.143
141989900819241088,0.4874,0.1488,18.203
142008802971702784,0.349,0.1207,17.324
142009829467147264,0.0601,0.1518,18.01
142040826247782144,0.4978,0.1096,17.217
142060995414135680,0.9574,0.0606,16.318
142122976086500864,-0.1269,1.7281,20.611
142130363430834944,0.4566,0.8205,20.138
142161188411287808,0.3297,0.0631,16.506
142178810663455872,1.1454,0.3415,19.209
142202832414006912,0.4312,0.1024,17.312
142232171334723456,0.1045,0.0781,16.81
142275262742423168,1.2266,0.0276,14.165
142290655905862272,0.8126,0.027,14.204
142316009096372352,0.2788,0.4525,19.469
142317662660125056,0.3315,0.0992,17.532
142353431147609472,0.2483,0.0968,16.924
142383014882252160,0.3203,0.0264,14.201
142388989181322112,0.3598,0.1834,18.052
142425719740392320,1.4909,0.0793,16.852
142468673708974720,-0.3851,1.0838,20.481
142483482756205440,-0.5914,0.9889,20.492
142488323183758336,1.8201,0.3795,19.438
142514848902537088,-0.1485,0.1863,18.269
142519453108234112,0.3409,0.2873,19.157
142533334442039168,0.2558,0.2295,18.653
142553233025601408,-0.4389,0.4211,19.701
142611404063583360,0.0743,0.0792,17.027
142626243174344064,0.3682,0.2404,18.547
142643663562603008,1.5437,0.2852,18.979
142647035112118272,1.1741,0.0294,14.343
142662527057181696,-0.7029,0.908,20.234
142709084504136192,0.7287,0.6796,20.2
142736026834384384,0.3549,0.0607,16.314
142740081283509504,0.8433,0.0544,16.222
142768531147377536,0.2848,0.0847,16.976
142806872318944512,0.3323,0.2655,19.082
142807701248509824,0.8087,0.0417,15.847
142852158453284736,0.2589,0.2125,18.32
142876141550903296,0.7838,0.165,18.111
142898101718850304,0.5723,0.0658,16.512
142921702564100096,-0.7573,0.5867,19.932
142949091571809024,0.1743,0.0662,16.504
142981149208347776,5.2583,0.5116,17.793
142987913781261312,0.4362,0.1595,17.845
142995167981164160,0.5132,0.0206,11.985
143099926527959296,-0.7173,0.61,20.046
143153699518822528,0.9138,0.5474,19.782
143193904707645824,-0.797,0.8767,20.453
143233418406083712,1.0372,1.1416,20.181
143249292606389120,0.6715,0.0353,15.222
143252346327250944,0.5109,0.118,17.795
143271106743306368,0.2407,0.1527,18.284
143298663253997440,0.2604,0.5397,19.541
143343811950316032,0.2956,0.2921,18.77
143349790545097216,0.4125,0.2851,18.795
143392224820987008,-0.131,0.5217,19.759
143420644621802880,0.6013,0.0471,15.757
143421572334728576,0.0854,0.1846,18.232
143442939795238400,1.8959,0.2159,18.504
143482182913518464,1.1327,0.4457,19.639
143526884932661248,0.292,0.0153,13.252
143582921369505280,0.8276,0.245,18.701
143606908763301632,0.3319,0.0692,16.288
143618621138203904,0.7478,0.3084,19.149
143631952716151936,-0.1581,0.3942,19.641
143635732287770624,0.2344,0.5624,19.999
143638377987605760,0.5476,0.2953,19.196
143641990056049920,0.16,0.0603,16.56
143707269262816512,2.6575,0.0175,11.623
143725484220259712,-0.1053,0.0754,16.876
143758637071170432,-0.0413,0.499,19.925
143789874369938048,0.1905,0.1021,17.503
