"","City_locality","iso3","country","super_region","super_region_name","pm25","sat_2014"
"1","","AUS","Australia",1,"HighIncome",33.4638009049774,33.3142921185601
"2","","PRT","Portugal",1,"HighIncome",15,9.86699962615967
"3","","ESP","Spain",1,"HighIncome",10,9.17549991607666
"4","AACHEN","DEU","Germany",1,"HighIncome",13,15.5379972457886
"5","AALBORG","DNK","Denmark",1,"HighIncome",11,9.79850196838379
"6","AALEN","DEU","Germany",1,"HighIncome",12,19.3479995727539
"7","AALESUND","NOR","Norway",1,"HighIncome",7.5,4.72599935531616
"8","AARSCHOT","BEL","Belgium",1,"HighIncome",15,15.7580051422119
"9","Aba","NGA","Nigeria",7,"Sub-Saharan Afr",49,45.8204879760742
"10","Abakaliki","NGA","Nigeria",7,"Sub-Saharan Afr",28,52.1980171203613
"11","ABANTO Y CIERVANA/ABANTO ZIERB","ESP","Spain",1,"HighIncome",12,9.25250148773193
"12","Abastumani","GEO","Georgia",4,"E-Eur/C-Eur/C-Asia",15,18.2754993438721
"13","ABBOTSFORD","CAN","Canada",1,"HighIncome",7,4.04150104522705
"14","ABERDEEN","GBR","United Kingdom",1,"HighIncome",9,6.6574969291687
"15","Abu Dhabi","ARE","United Arab Emirates",2,"N-Afr/MidEast",56.6666666666667,45.8957443237305
"16","ACQUAPENDENTE","ITA","Italy",1,"HighIncome",10,17.9379978179932
"17","ADANA","TUR","Turkey",2,"N-Afr/MidEast",28,23.3541259765625
"18","Adelaide","AUS","Australia",1,"HighIncome",6.51373927528571,3.15550030980791
"19","ADIYAMAN","TUR","Turkey",2,"N-Afr/MidEast",44,20.9560012817383
"20","Adrian, MI","USA","United States of America",1,"HighIncome",9,9.98000144958496
"21","Afikpo","NGA","Nigeria",7,"Sub-Saharan Afr",25,50.7555084228516
"22","Afula","ISR","Israel",1,"HighIncome",21,29.7459983825684
"23","AFYON","TUR","Turkey",2,"N-Afr/MidEast",61,21.0610027313232
"24","AG��_��__IMES","ESP","Spain",1,"HighIncome",7,14.7574992179871
"25","AGEN","FRA","France",1,"HighIncome",9,10.5629997253418
"26","AGIA PARASKEVI","GRC","Greece",1,"HighIncome",10,16.7139987945557
"27","Agra","IND","India",3,"S-Asia",104.666666666667,76.8369903564453
"28","AGRI","TUR","Turkey",2,"N-Afr/MidEast",30,20.6684951782227
"29","Ahmedabad","IND","India",3,"S-Asia",52.1428571428571,47.0950012207031
"30","Ahvaz","IRN","Iran (Islamic Republic of)",2,"N-Afr/MidEast",98.5,44.2409934997559
"31","AIA","ESP","Spain",1,"HighIncome",8,8.28300189971924
"32","AIRVAULT","FRA","France",1,"HighIncome",10,11.6830015182495
